date,planned_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,soc_link_residual_kwh
2025-08-13,51053.65146281234,2106.0076157162653,590.5409925319213,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-08-14,45975.78323694767,4572.835036696364,1082.2127820963933,8550.0,3632.128860381931,1199.9999999999982,10800.0,0.0
2025-08-15,24533.46025794617,1329.0958146857797,442.69932337855016,3632.128860381931,3497.4608924375552,1199.9999999999995,10800.0,0.0
2025-08-16,27108.345270823018,1311.3944230279642,322.93793055485895,3497.4608924375552,8550.0,1199.999999999999,10799.999999999996,0.0
2025-08-17,48987.640132303524,2942.2384661094175,715.2286056069481,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-08-18,48554.602290223906,4951.9337879088735,1177.6740917204888,8550.0,8550.0,1200.000000000001,10800.000000000004,0.0
2025-08-19,50817.17357802775,1507.419934367494,394.1209738297999,8550.0,8550.0,1200.0,10800.0,0.0
2025-08-20,49806.51731880409,8446.043578371107,1986.2073809696647,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-08-21,47113.33791850127,4311.862049029938,1097.1004309838754,8550.0,3448.462398502501,1199.999999999999,10800.000000000002,0.0
2025-08-22,24271.216656641016,3592.4361543361056,864.2814409982086,3448.462398502501,3125.242835441164,1200.0000000000005,10800.000000000004,0.0
2025-08-23,27259.238005455638,1227.8752039951767,356.3312346151348,3125.242835441164,8550.0,1200.000000000001,10800.000000000004,0.0
2025-08-24,48555.19985486828,4900.136889487872,1176.959264630885,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-08-25,48922.808135152394,12064.03423627113,3664.3277765991534,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-08-26,48667.39037604941,4299.545049311419,973.2556798308175,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-08-27,52139.607464147695,3455.048836830074,854.0378297109703,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-08-28,47086.414767663504,10672.488124525655,2838.495079358554,8550.0,3483.7484259259254,1200.0000000000036,10800.000000000004,0.0
2025-08-29,25256.336786969412,3448.3570455421814,797.9024798353912,3483.7484259259254,3385.451877061685,1199.9999999999982,10800.0,0.0
2025-08-30,27235.234002897785,1846.0734362704563,463.00412778709523,3385.451877061685,8550.0,1200.0,10800.0,0.0
2025-08-31,48843.876960223744,4891.9296638867945,1658.3075082056916,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-09-01,52331.65953961578,0.0,0.0,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-09-02,49578.43143685821,472.129060557475,126.36549232959817,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-09-03,51304.735933811506,48.143206999998526,13.251616666666223,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-09-04,50901.20131757863,440.493304925,112.78540000000001,8550.0,4828.518265955177,1200.0000000000018,10800.000000000004,0.0
2025-09-05,24984.06777780038,0.0,0.0,4828.518265955177,3323.8667008644634,1199.999999999999,10800.0,0.0
2025-09-06,27894.799834141595,1010.1948173267215,240.7618154433101,3323.8667008644634,8550.0,1200.0000000000005,10800.000000000004,0.0
2025-09-07,50339.1795705462,327.37010663234366,68.10991081024798,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-09-08,40905.32490061209,10040.668250347135,2400.1922517515864,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-09-09,41241.436756975214,6721.927700630917,1572.2676930450893,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-09-10,42680.419238866474,9434.996479326328,2159.413083549267,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
