date,interval,hour,actual_net_kw,forecast_net_kw,planned_grid_kw,emergency_kw
2025-03-20,109,18.166666666666668,4435.8493,4354.035199999999,4527.439299999999,0.0
2025-03-20,110,18.333333333333332,4255.449999999999,4309.15,4457.73,0.0
2025-03-20,111,18.5,4286.5369,4354.2603,4474.5961,0.0
2025-03-20,112,18.666666666666668,4469.846,4338.223,3059.4791999999934,58.50109999999995
2025-03-20,113,18.833333333333332,4579.24,4288.92,0.0,174.5400000000002
2025-03-20,114,19.0,4480.3081999999995,4415.0451,0.0,0.0
2025-03-20,115,19.166666666666668,4285.532999999999,4447.7595,0.0,0.0
2025-03-20,116,19.333333333333332,4196.78,4430.96,0.0,0.0
2025-03-20,117,19.5,4330.8684,4648.3362,0.0,0.0
2025-03-20,118,19.666666666666668,4370.945999999999,4630.751,0.0,0.0
2025-03-20,119,19.833333333333332,4358.21,4405.57,0.0,0.0
2025-03-20,120,20.0,4586.0191,4459.9096,0.0,0.0
2025-03-20,121,20.166666666666668,4523.662899999999,4389.7527,0.0,15.60549999999921
2025-03-20,122,20.333333333333332,4215.37,4195.369999999999,0.0,0.0
2025-03-20,123,20.5,4256.2469,4327.8811,0.0,0.0
2025-03-20,124,20.666666666666668,4319.0159,4512.034399999999,4607.7672,0.0
2025-03-20,125,20.833333333333332,4257.25,4484.869999999999,4673.650000000001,0.0
2025-03-20,126,21.0,4290.268099999999,4273.0646,4387.394999999999,0.0
2025-03-20,127,21.166666666666668,4418.703599999999,4239.7897,4409.2970000000005,9.406599999999344
2025-03-20,128,21.333333333333332,4553.6,4406.58,4515.15,38.4500000000005
2025-03-20,129,21.5,4526.2528,4390.6494,4500.930200000001,25.322599999999056
2025-03-20,130,21.666666666666668,4001.6251999999995,3913.3811,4057.3949999999995,0.0
2025-03-20,131,21.833333333333332,3318.9399999999996,3346.6099999999997,8494.73,0.0
2025-03-20,132,22.0,3233.4088,3373.0005,8531.5523,0.0
2025-03-20,133,22.166666666666668,3319.9709999999995,3465.5966,3582.9708000000005,0.0
2025-03-20,134,22.333333333333332,3255.84,3381.63,8544.470000000001,0.0
2025-03-20,135,22.5,3144.1325999999995,3375.153,8553.4421,0.0
2025-03-20,136,22.666666666666668,3161.8174,3326.3207,3500.6692000000003,0.0
2025-03-20,137,22.833333333333332,3296.3999999999996,3298.16,4494.9112345679005,0.0
2025-03-20,138,23.0,3356.4080999999996,3488.4212,3614.366900000001,0.0
2025-03-20,139,23.166666666666668,3261.7676,3525.4193,3662.2047999999995,0.0
2025-03-20,140,23.333333333333332,3267.73,3418.4699999999993,8577.25,0.0
2025-03-20,141,23.5,3604.0759999999996,3469.7556999999997,3697.9112999999998,0.0
2025-03-20,142,23.666666666666668,3245.8691,3090.0777,3201.8351000000002,44.03399999999965
2025-03-20,143,23.833333333333332,2401.0,2440.31,2588.44,0.0
2025-06-21,0,0.0,3087.9838,3292.2207,3409.2245,0.0
2025-06-21,1,0.16666666666666666,3200.0918999999994,3247.762,6195.637317688977,0.0
2025-06-21,2,0.3333333333333333,3401.46,3135.4199999999996,3325.2699999999995,76.19000000000028
2025-06-21,3,0.5,3063.5261,3144.8943,3336.3202000000006,0.0
2025-06-21,4,0.6666666666666666,2820.2572,3189.3566,3340.025627136016,0.0
2025-06-21,5,0.8333333333333334,2883.38,3191.86,3320.27,0.0
2025-06-21,6,1.0,2869.9795999999997,3141.3129,3313.1880999999994,0.0
2025-06-21,7,1.1666666666666667,2985.8287,2978.2906,3147.861099999999,0.0
2025-06-21,8,1.3333333333333333,3164.1799999999994,2859.96,3036.3899999999994,127.78999999999974
2025-06-21,9,1.5,3064.8457,2991.4169,3126.6755,0.0
2025-06-21,10,1.6666666666666667,2954.0459,2886.449,2999.2038000000002,0.0
2025-06-21,11,1.8333333333333333,2994.62,2684.58,2854.2499999999995,140.37000000000023
2025-06-21,12,2.0,3072.4014,2981.874,3119.7346,0.0
2025-06-21,13,2.1666666666666665,3013.1014999999998,3040.3061,3164.3663870086907,0.0
2025-06-21,14,2.3333333333333335,2838.75,2782.6099999999997,2856.88,0.0
2025-06-21,15,2.5,2749.9199,2861.4034,2989.1389000000004,0.0
2025-06-21,16,2.6666666666666665,2820.5847,2863.2888,2995.6366999999996,0.0
2025-06-21,17,2.8333333333333335,2936.24,2706.74,2883.1899999999996,53.05000000000018
2025-06-21,18,3.0,2920.1882,2767.5085,2895.2644999999993,24.923700000000736
2025-06-21,19,3.1666666666666665,2951.0328,2826.5835,2930.5895000000005,20.44329999999934
2025-06-21,20,3.3333333333333335,2977.51,2821.38,2894.12,83.38999999999987
2025-06-21,21,3.5,2780.2817999999997,2923.4794999999995,3043.6665000000003,0.0
2025-06-21,22,3.6666666666666665,2728.3058999999994,2996.6877,3163.3478999999998,0.0
2025-06-21,23,3.8333333333333335,2862.1899999999996,2885.8,3004.4300000000003,0.0
2025-06-21,24,4.0,2845.6919000000003,2608.3601,2679.1420000000003,166.54989999999987
2025-06-21,25,4.166666666666667,2748.951,2602.2533999999996,2707.6722999999993,41.278700000000526
2025-06-21,26,4.333333333333333,2677.31,2799.89,3000.63,0.0
2025-06-21,27,4.5,2657.7196999999996,2716.4781999999996,2930.918999999999,0.0
2025-06-21,28,4.666666666666667,2702.3205,2641.2198,2823.4685999999992,0.0
2025-06-21,29,4.833333333333333,2725.045,2629.29,2836.3999999999996,0.0
2025-06-21,30,5.0,2547.9523,2365.4604,2555.7980000000002,0.0
2025-06-21,31,5.166666666666667,2342.9007,2250.9569,2449.4072000000006,0.0
