date,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_energy_kwh,grid_energy_kwh,minimum_soc_kwh,solve_seconds
2025-04-22,30971.74891281389,3519.6437238448034,9361.340522473773,43852.73315913247,2590.0965332740734,55129.383917392275,1200.0000000000002,0.3767266001086682
2025-04-23,29841.03498495344,4254.142674882294,6908.869203994801,41004.04686383053,1839.7661780902536,55002.77765784439,1200.0000000000002,0.4089832999743521
2025-04-24,30771.72929232679,2425.9906684648845,7057.692456702401,40255.41241749407,2090.076475462545,54225.852879248065,1201.4762392400582,0.7015740001806989
2025-04-25,9517.969093415786,271.6364943119074,4710.433662346733,14500.039250074427,1301.3207390054504,18883.8147129019,1200.0,0.33105020003858954
2025-04-26,11823.345353884324,444.8526058564615,6621.957193026456,18890.15515276724,1707.8029498431683,24748.317319756203,1200.0,0.4622845998965204
2025-04-27,32461.54723350658,3421.650003881259,9047.494949372824,44930.69218676066,2120.2666062840876,59806.97939574208,1199.9999999999998,0.3848708000732586
2025-04-28,36212.23860143588,1562.7754774914865,5011.941436776564,42786.95551570393,1186.335220471318,62921.37994351455,1200.0000000000032,0.3344690001104027
2025-04-29,29951.80636022725,1817.7275768335467,5890.25098218146,37659.78491924226,1278.1277647379152,51264.20101441301,1199.999999999999,0.38050669990479946
2025-04-30,29211.54764538089,537.7416502571364,13903.605837415085,43652.89513305311,3666.4534206004437,48052.65856598065,1199.9999999999986,0.4743645000271499
2025-05-01,31741.566969523985,3457.074367768005,17916.733112218382,53115.374449510375,4258.221163343462,56221.061401785584,1200.0,0.4883618002058938
2025-05-02,10880.37280394164,520.4864208812594,13074.662457964156,24475.521682787054,3098.6488571470227,21491.77528824028,1200.0000000000005,0.562082199845463
2025-05-03,12048.611830854656,1278.804291154389,11461.910226882319,24789.326348891365,2561.0033388456895,25959.427318262897,1200.0,0.2998607000336051
2025-05-04,34940.01439521182,998.514832726806,20778.334104025816,56716.86333196444,5401.501978479802,59904.186685185385,1200.0000000000018,0.3481653000926599
2025-05-05,33513.80474957028,1455.0409710532228,15313.987044371064,50282.83276499457,3606.890300416396,56884.44603385269,1200.0000000000005,0.37583109992556274
2025-05-06,28670.833330954407,6647.5111825494205,15524.761893631965,50843.10640713579,3878.8344694444504,52329.589055727345,1199.9999999999998,0.5027421999257058
2025-05-07,31720.90088317509,6394.401912483037,12472.436244922234,50587.73904058036,2911.2822527777807,58447.230780041136,1199.9999999999995,0.3871668998617679
2025-05-08,35938.64381204636,1350.9632255678769,8772.389847351984,46061.99688496621,2149.2652082342156,60431.583452705105,1200.000000000001,0.404265699791722
2025-05-09,11224.199718915315,1005.287529417297,7236.237051988697,19465.724300321308,1701.6941665470295,21801.159950938643,1200.0,0.30072069994639605
2025-05-10,13652.095454386716,570.2850352936755,12145.50190507784,26367.882394758228,2950.179535666496,26011.574086297413,1200.0,0.508590699872002
2025-05-11,37563.91889722018,2131.5067439175045,10478.469343541652,50173.89498467934,2689.946827777774,64630.06104216701,1200.0000000000002,0.5359042000491172
2025-05-12,29750.59810300766,5028.473105082526,9129.966828516659,43909.03803660684,2363.112052777776,52099.425034273314,1199.9999999999998,0.4838944999501109
2025-05-13,36816.9100482511,1318.791200669178,12138.013194638883,50273.71444355916,2695.1732611111097,60617.56446587791,1200.0,0.3534739000024274
2025-05-14,35423.47560271504,2060.2373067034177,6448.477379313886,43932.19028873235,1579.9009555555544,58311.79996515775,1199.9999999999995,0.4198983999667689
2025-05-15,34623.1690350916,2662.982418730415,9330.765072222228,46616.91652604425,2288.7041305555567,55511.46538475582,1200.0,0.4587014998542145
2025-05-16,10989.861384099808,-216.68214656109026,9315.281296423613,20088.46053396233,2468.112227777778,19245.116285219476,1200.0,0.4949992001056671
2025-05-17,13541.307757164705,538.1968249798617,8320.15034527361,22399.654927418174,2076.3629027777783,26318.36174859397,1199.9999999999936,0.4835303998552263
2025-05-18,39720.1079089316,304.07886452000395,5032.928488244444,45057.115261696046,1464.4654527777777,66847.44531776407,1200.0000000000018,0.5258470999542624
2025-05-19,32337.363465610826,1044.354766667247,7154.769433735726,40536.487666013796,1678.186255331918,53798.53686399737,1200.0000000000014,0.46084289997816086
2025-05-20,32420.619198174194,3575.576664755758,10141.323346240242,46137.5192091702,2489.091265482073,57097.21037986823,1200.0000000000039,0.3839072003029287
2025-05-21,30224.21339810992,5740.1673667221985,7643.287163363822,43607.667928195944,1926.4090177885564,52602.27213476403,1199.999999999999,0.4829315999522805
2025-05-22,33497.39509266996,1035.4846016749307,10694.413484751978,45227.29317909687,2507.526672216103,56449.66635307572,1199.9999999999995,0.4861437000799924
2025-05-23,10353.315722709453,1149.9095904857618,5318.33829459988,16821.563607795095,1302.4818249449536,20716.633654776946,1200.0,0.2606526999734342
2025-05-24,13574.066605369833,-92.8280786071084,4665.117817017344,18146.35634378007,1166.5739495277758,25763.352279422284,1200.0,0.4350645998492837
2025-05-25,35772.04788144324,970.8217049457375,8056.53421263101,44799.40379901999,1884.6662304783613,62395.928150272055,1200.0000000000025,0.3816048998851329
2025-05-26,31390.172602019837,6031.79422007221,8077.931429978379,45499.89825207042,2061.367633811996,57754.250745692436,1199.9999999999998,0.45062660006806254
2025-05-27,30329.82881736712,5474.03195470752,8332.690261540107,44136.55103361474,2022.9498316380805,52017.4844471234,1199.9999999999995,0.4392923000268638
2025-05-28,35278.993967184404,1353.4404446939366,4268.589157858609,40901.02356973695,1272.1850543685932,61193.30041766148,1200.0000000000011,0.3808413001243025
2025-05-29,33146.2332614179,4616.282187410652,9271.67501174501,47034.19046057356,2368.9082128171094,58744.20703798448,1200.0000000000005,0.34588479984086007
2025-05-30,10560.53316410037,751.157449323711,5585.815578856757,16897.506192280838,1482.4471425753577,20082.956305911586,1200.0,0.30191100004594773
2025-05-31,14776.075348935905,-179.65035729219204,5170.843471146222,19767.268462789936,1394.7997424392265,27734.489454937786,1200.0,0.33254909981042147
2025-06-01,45728.0773471463,2316.0823451331744,28076.002088626912,76120.16178090639,7408.205472418981,77411.77115679452,1200.0000000000002,0.4390680000651628
2025-06-02,43479.32068696671,2735.2964590838533,21422.097005912132,67636.71415196269,6070.387045809035,67888.8598702773,1200.0000000000002,0.39949159999378026
2025-06-03,39442.37348004135,10135.204981639516,16662.887267915285,66240.46572959615,4758.93231388889,71772.32206936419,1200.0000000000002,0.3117121000541374
2025-06-04,46261.043027061925,3882.4365085557906,17621.583702145577,67765.06323776329,5258.224297828563,70289.370689862,1200.0,0.29329729988239706
2025-06-05,39100.74897554583,8767.296533385721,17941.513482126396,65809.55899105794,5281.305241666669,71970.19618745473,1200.000000000002,0.35988919995725155
2025-06-06,12817.0138590658,6485.266095564396,23296.334568493046,42598.614523123244,6509.2690722222205,27423.573283246915,1200.0,0.43494599987752736
2025-06-07,16392.95944322915,8326.200673021385,16567.67278905834,41286.83290530887,4681.296061111113,38470.20011155692,1200.0000000000007,0.43485159997362643
2025-06-08,45222.92325155397,3011.444027158458,7218.015880627976,55452.3831593404,1994.7962020136051,74153.73701349756,1200.0000000000002,0.6357023001182824
2025-06-09,49840.32803300524,-1666.4481848690518,9777.637813719748,57951.517661855934,2486.636192456658,74954.59996615059,1199.9999999999993,0.3055758000118658
2025-06-10,45636.05495970481,1773.0887719243458,10770.152460439725,58179.29619206888,2955.0542813156553,75117.00939463743,1200.0000000000002,0.2903505000285804
2025-06-11,50085.722363347726,3993.6703619185173,7845.873219476858,61925.2659447431,1843.4854404236207,81844.26164448328,1200.0000000000002,0.32753299991600215
2025-06-12,48391.9967525564,-446.88342386819943,10368.781730363098,58313.8950590513,2379.4497884178627,76697.5573261049,1200.0000000000002,0.7520615998655558
2025-06-13,17414.813868294885,2715.227615167516,4805.587747205072,24935.629230667473,1205.4238418918271,31005.18698112988,1200.0000000000002,0.48569150012917817
2025-06-14,19473.473615782197,-322.9019139126966,10025.157808562954,29175.72951043245,2689.6307395572185,32457.10148792527,1200.0,0.5776417000452057
2025-06-15,47632.20416703822,3996.072559929289,6816.582824389475,58444.85955135698,1587.37916345442,83436.3552253631,1200.0000000000007,0.4766834999900311
2025-06-16,46745.6417037951,2222.042258347468,8541.71069832192,57509.39466046449,2198.128797354991,77756.89523210902,1199.999999999999,0.7961124998982996
2025-06-17,47293.59185474004,3653.93844297603,10577.171389979012,61524.70168769509,2555.0112019514936,78939.53959992557,1200.0000000000002,0.3890282000647858
2025-06-18,47896.48211520675,2942.8934469206615,6290.42305124614,57129.798613373554,1542.7497475896446,77588.81911860159,1200.0000000000002,0.29974109993781894
2025-06-19,44664.866890727804,2827.112529757439,10622.866704531067,58114.84612501631,2859.1645201051488,72624.62854363227,1200.0000000000002,0.3119088999228552
2025-06-20,16831.25996737755,-428.22218421371247,6409.579591458299,22812.61737462214,1771.488962666077,26247.880440988738,1199.9999999999995,0.6707916000159457
2025-06-21,19179.41255646516,439.22931418488713,2833.6896785129275,22452.331549162973,823.9470059590792,34242.490207594776,1200.0,0.6393710002303123
2025-06-22,45469.78869217448,3385.736847181387,10618.110547545153,59473.636086901024,2637.1534961256375,77368.09816025713,1200.0000000000002,0.6439093999797478
2025-06-23,44401.05809864893,920.4723236564024,8683.138600405448,54004.669022710776,2161.102182996099,72019.98652746323,1200.0000000000002,0.33185760013293475
2025-06-24,51793.10935957874,796.70214256289,7312.333580576057,59902.14508271769,2117.083916733533,81473.21386696087,1200.0000000000002,0.4009945000289008
2025-06-25,44529.813644479174,3037.5367072808476,8514.41186153961,56081.762213299626,1972.0159324985248,75771.78550377107,1200.0000000000002,0.3178388000233099
2025-06-26,43735.579102752774,2681.7858005587273,6569.279854389768,52986.644757701266,1712.1918582013125,73480.7768073791,1200.000000000001,0.349893799982965
2025-06-27,16918.37292633714,-742.031851307845,8790.314794714996,24966.65586974429,2196.6572786937822,27170.835980662854,1199.9999999999989,0.4739056999096647
2025-06-28,17837.42995949614,226.28242970778211,5795.354088163127,23859.06647736705,1467.0163976677136,31455.970339193227,1200.0,0.569769199937582
